trial	time_sec	distance
1	0	2.657335
1	1	2.594952
1	2	2.517701
1	3	2.498077
1	4	2.508534
1	5	2.560264
1	6	2.592549
1	7	2.586946
1	8	2.553541
1	9	2.528302
1	10	2.543726
1	11	2.542599
1	12	2.510593
1	13	2.540959
1	14	2.520317
1	15	2.455327
1	16	2.416999
1	17	2.387349
1	18	2.333069
1	19	2.288232
1	20	2.252724
1	21	2.234890
1	22	2.212183
1	23	2.200186
1	24	2.213962
1	25	2.236001
1	26	2.248080
1	27	2.276813
1	28	2.312484
1	29	2.349307
1	30	2.364711
1	31	2.420814
1	32	2.488402
1	33	2.574785
1	34	2.612642
1	35	2.611127
1	36	2.624202
1	37	2.624253
1	38	2.566335
1	39	2.490411
1	40	2.425563
1	41	2.404722
1	42	2.340723
1	43	2.268552
1	44	2.247443
1	45	2.269952
1	46	2.252109
1	47	2.191744
1	48	2.151366
1	49	2.117794
1	50	2.071204
1	51	2.074153
1	52	2.107800
1	53	2.103741
1	54	2.133632
1	55	2.191282
1	56	2.206378
1	57	2.173608
1	58	2.114336
1	59	2.104012
1	60	2.108130
1	61	2.107723
1	62	2.131662
1	63	2.145377
1	64	2.208011
1	65	2.239323
1	66	2.303875
1	67	2.334041
1	68	2.359727
1	69	2.364878
1	70	2.305840
1	71	2.280132
1	72	2.300249
1	73	2.303177
1	74	2.340644
1	75	2.351976
1	76	2.354597
1	77	2.374744
1	78	2.407902
1	79	2.463048
1	80	2.541071
1	81	2.653053
1	82	2.703340
1	83	2.756924
1	84	2.812538
1	85	2.823635
1	86	2.799390
1	87	2.766298
1	88	2.776907
1	89	2.766433
1	90	2.721912
1	91	2.721771
1	92	2.721100
1	93	2.702084
1	94	2.667770
1	95	2.655179
1	96	2.668597
1	97	2.709108
1	98	2.767769
1	99	2.773979
1	100	2.821512
1	101	2.879218
1	102	2.895595
1	103	2.952667
1	104	2.953392
1	105	2.987344
1	106	3.042270
1	107	3.060643
1	108	3.126547
1	109	3.183826
1	110	3.224326
1	111	3.303529
1	112	3.351406
1	113	3.388361
1	114	3.369461
1	115	3.393786
1	116	3.466359
1	117	3.472186
1	118	3.463576
1	119	3.413663
1	120	3.377878
1	121	3.370923
1	122	3.286637
1	123	3.296927
1	124	3.275130
1	125	3.294934
1	126	3.270278
1	127	3.282683
1	128	3.256045
1	129	3.261363
1	130	3.275466
1	131	3.245889
1	132	3.212429
1	133	3.151522
1	134	3.072880
1	135	3.008147
1	136	2.901332
1	137	2.808849
1	138	2.738258
1	139	2.727444
1	140	2.695769
1	141	2.684079
1	142	2.664556
1	143	2.666896
1	144	2.704952
1	145	2.737671
1	146	2.738378
1	147	2.782399
1	148	2.779863
1	149	2.780133
1	150	2.751081
1	151	2.755013
1	152	2.774858
1	153	2.799202
