trial,frame,time_sec,distance
1,0,0.0,4.45876064805603
1,1,0.020833333333333332,4.458759946822712
1,2,0.041666666666666664,4.458745576459822
1,3,0.0625,4.458669029862696
1,4,0.08333333333333333,4.45846930014842
1,5,0.10416666666666667,4.4581182583163494
1,6,0.125,4.457607590521885
1,7,0.14583333333333334,4.456917754753413
1,8,0.16666666666666666,4.456014048993591
1,9,0.1875,4.454881835510568
1,10,0.20833333333333334,4.453545964036198
1,11,0.22916666666666666,4.452035760533872
1,12,0.25,4.450355402998858
1,13,0.2708333333333333,4.4485092407225535
1,14,0.2916666666666667,4.446529653133778
1,15,0.3125,4.444458655374162
1,16,0.3333333333333333,4.442327124846221
1,17,0.3541666666666667,4.440168765809135
1,18,0.375,4.438029893057903
1,19,0.3958333333333333,4.43593736278572
1,20,0.4166666666666667,4.433892720825603
1,21,0.4375,4.431921365923032
1,22,0.4583333333333333,4.430073785458376
1,23,0.4791666666666667,4.428375480660727
1,24,0.5,4.426818093331088
1,25,0.5208333333333334,4.425402323977589
1,26,0.5416666666666666,4.424155159623798
1,27,0.5625,4.423092906842647
1,28,0.5833333333333334,4.4221988092655256
1,29,0.6041666666666666,4.421450640254867
1,30,0.625,4.420841889806981
1,31,0.6458333333333334,4.420364015311425
1,32,0.6666666666666666,4.419984509015287
1,33,0.6875,4.419673103423239
1,34,0.7083333333333334,4.419423493784094
1,35,0.7291666666666666,4.419234073684012
1,36,0.75,4.419085249622048
1,37,0.7708333333333334,4.418954878815438
1,38,0.7916666666666666,4.418839422117654
1,39,0.8125,4.418732060101264
1,40,0.8333333333333334,4.418603895606619
1,41,0.8541666666666666,4.418429947075477
1,42,0.875,4.418202394376892
1,43,0.8958333333333334,4.4179064443648866
1,44,0.9166666666666666,4.41751119265791
1,45,0.9375,4.4169873079807065
1,46,0.9583333333333334,4.416328941250339
1,47,0.9791666666666666,4.415531551351741
1,48,1.0,4.4145784016467475
1,49,1.0208333333333333,4.413476022390931
1,50,1.0416666666666667,4.412261292303758
1,51,1.0625,4.410965730739575
1,52,1.0833333333333333,4.409597368436416
1,53,1.1041666666666667,4.40815830457438
1,54,1.125,4.4066651631667915
1,55,1.1458333333333333,4.405141974414908
1,56,1.1666666666666667,4.4035942186934625
1,57,1.1875,4.402009449877004
1,58,1.2083333333333333,4.400392759930298
1,59,1.2291666666666667,4.398780744272986
1,60,1.25,4.397197284287327
1,61,1.2708333333333333,4.395636720355086
1,62,1.2916666666666667,4.394103763276328
1,63,1.3125,4.3926164395900615
1,64,1.3333333333333333,4.391159830024523
1,65,1.3541666666666667,4.389694748740264
1,66,1.375,4.388211707583051
1,67,1.3958333333333333,4.386734030199755
1,68,1.4166666666666667,4.385261323872938
1,69,1.4375,4.38376111721873
1,70,1.4583333333333333,4.382217884078042
1,71,1.4791666666666667,4.380635117708447
1,72,1.5,4.378986544638976
1,73,1.5208333333333333,4.37721931762896
1,74,1.5416666666666667,4.375311439316443
1,75,1.5625,4.373281107829051
1,76,1.5833333333333333,4.371136076075039
1,77,1.6041666666666667,4.368854890639945
1,78,1.625,4.366432394711684
1,79,1.6458333333333333,4.3639003580108335
1,80,1.6666666666666667,4.3612716806671505
1,81,1.6875,4.358519260672569
1,82,1.7083333333333333,4.355623597549194
1,83,1.7291666666666667,4.352599136169091
1,84,1.75,4.349453077146071
1,85,1.7708333333333333,4.346172070605535
1,86,1.7916666666666667,4.342773407711588
1,87,1.8125,4.339301910986972
1,88,1.8333333333333333,4.335786271962767
1,89,1.8541666666666667,4.332246544624869
1,90,1.875,4.328726343146712
1,91,1.8958333333333333,4.32527216633555
1,92,1.9166666666666667,4.321886908111092
1,93,1.9375,4.318561592009122
1,94,1.9583333333333333,4.31531571208174
1,95,1.9791666666666667,4.312158447279061
1,96,2.0,4.309073708163182
1,97,2.0208333333333335,4.306059692552701
1,98,2.0416666666666665,4.303132257576518
1,99,2.0625,4.300282300337336
1,100,2.0833333333333335,4.297477300666769
1,101,2.1041666666666665,4.294700374737901
1,102,2.125,4.291945576417025
1,103,2.1458333333333335,4.289182541561064
1,104,2.1666666666666665,4.286369651331403
1,105,2.1875,4.2834926025407265
1,106,2.2083333333333335,4.280550820923051
1,107,2.2291666666666665,4.277518071869836
1,108,2.25,4.274359561516996
1,109,2.2708333333333335,4.271070888682903
1,110,2.2916666666666665,4.267656111703861
1,111,2.3125,4.264097927449819
1,112,2.3333333333333335,4.260380039145735
1,113,2.3541666666666665,4.256513377911091
1,114,2.375,4.25252391460432
1,115,2.3958333333333335,4.248429026759179
1,116,2.4166666666666665,4.244239262085732
1,117,2.4375,4.23998174236168
1,118,2.4583333333333335,4.235696774377481
1,119,2.4791666666666665,4.231405751004342
1,120,2.5,4.227106194792531
1,121,2.5208333333333335,4.2228015508258006
1,122,2.5416666666666665,4.218511969975713
1,123,2.5625,4.21425217509836
1,124,2.5833333333333335,4.210018654459387
1,125,2.6041666666666665,4.205803924519204
1,126,2.625,4.201619586408506
1,127,2.6458333333333335,4.197485326878775
1,128,2.6666666666666665,4.193400129002241
1,129,2.6875,4.189346973597858
1,130,2.7083333333333335,4.18532324670556
1,131,2.7291666666666665,4.181336747052284
1,132,2.75,4.177375891262878
1,133,2.7708333333333335,4.173412141446241
1,134,2.7916666666666665,4.169428498947353
1,135,2.8125,4.165418468000827
1,136,2.8333333333333335,4.161369040432492
1,137,2.8541666666666665,4.157267844213945
1,138,2.875,4.15311386120824
1,139,2.8958333333333335,4.148907750128375
1,140,2.9166666666666665,4.144643404419805
1,141,2.9375,4.140319930367201
