trial	time_sec	distance
1	0	5.084130
1	1	5.098142
1	2	5.063121
1	3	4.916123
1	4	4.717893
1	5	4.587782
1	6	4.446188
1	7	4.301654
1	8	4.147441
1	9	4.003154
1	10	3.865452
1	11	3.782628
1	12	3.679086
1	13	3.602559
1	14	3.532156
1	15	3.478035
1	16	3.452883
1	17	3.433373
1	18	3.420962
1	19	3.378805
1	20	3.347241
1	21	3.314624
1	22	3.263812
1	23	3.225683
1	24	3.211890
1	25	3.185068
1	26	3.157653
1	27	3.117586
1	28	3.129287
1	29	3.122968
1	30	3.112665
1	31	3.069096
1	32	3.051973
1	33	3.036896
1	34	3.020751
1	35	3.001920
1	36	2.999657
1	37	2.984050
1	38	2.974568
1	39	2.982024
1	40	2.957148
1	41	2.925099
1	42	2.884292
1	43	2.838267
1	44	2.794699
1	45	2.746970
1	46	2.684437
1	47	2.667226
1	48	2.631202
1	49	2.599019
1	50	2.577499
1	51	2.543101
1	52	2.480945
1	53	2.466777
1	54	2.472823
1	55	2.449498
1	56	2.437088
1	57	2.461883
1	58	2.475085
1	59	2.507862
1	60	2.516959
1	61	2.513180
1	62	2.514904
1	63	2.486300
1	64	2.444493
1	65	2.405478
1	66	2.403752
1	67	2.424996
1	68	2.439711
1	69	2.425872
1	70	2.410063
1	71	2.387910
1	72	2.379070
1	73	2.378443
1	74	2.379009
1	75	2.360553
1	76	2.310051
1	77	2.292909
1	78	2.263921
1	79	2.241148
1	80	2.195476
1	81	2.156531
1	82	2.106147
1	83	2.061005
1	84	1.995925
1	85	1.935123
1	86	1.909852
1	87	1.894078
1	88	1.847925
1	89	1.796483
1	90	1.749715
1	91	1.708614
1	92	1.694091
1	93	1.674083
1	94	1.646241
1	95	1.608535
1	96	1.581042
1	97	1.554463
1	98	1.470005
1	99	1.389959
1	100	1.296268
1	101	1.197267
1	102	1.077594
1	103	0.961188
1	104	0.855145
1	105	0.783429
1	106	0.711755
1	107	0.681331
1	108	0.641269
1	109	0.615369
1	110	0.581948
1	111	0.571923
1	112	0.535762
1	113	0.531467
1	114	0.497889
1	115	0.509541
1	116	0.489206
1	117	0.485266
1	118	0.434251
1	119	0.441647
1	120	0.409084
1	121	0.407139
1	122	0.407664
1	123	0.432240
1	124	0.438260
1	125	0.446515
1	126	0.483609
1	127	0.477150
1	128	0.555946
1	129	0.596919
1	130	0.640060
1	131	0.635663
1	132	0.630289
1	133	0.643012
1	134	0.637841
1	135	0.649877
1	136	0.612588
1	137	0.616122
1	138	0.597274
1	139	0.631149
1	140	0.660946
1	141	0.652316
1	142	0.647073
1	143	0.623831
1	144	0.577627
1	145	0.552769
1	146	0.513349
1	147	0.433874
1	148	0.385545
1	149	0.334526
1	150	0.333930
1	151	0.321335
1	152	0.286043
1	153	0.316889
1	154	0.278641
1	155	0.216425
1	156	0.175474
1	157	0.086277
1	158	0.063810
1	159	0.061702
1	160	0.079227
1	161	0.098628
1	162	0.125101
1	163	0.152692
1	164	0.222240
1	165	0.265749
1	166	0.245569
1	167	0.248918
1	168	0.249628
1	169	0.285253
1	170	0.321408
1	171	0.357718
1	172	0.372761
1	173	0.359194
1	174	0.369306
1	175	0.376632
1	176	0.368876
1	177	0.358589
1	178	0.383202
1	179	0.358801
1	180	0.304891
1	181	0.240852
1	182	0.180462
1	183	0.094757
1	184	0.069328
1	185	0.032941
1	186	0.099239
1	187	0.161047
1	188	0.238380
1	189	0.325305
1	190	0.410794
1	191	0.488353
1	192	0.531002
1	193	0.532420
1	194	0.553875
1	195	0.556744
1	196	0.549664
1	197	0.560466
1	198	0.550623
1	199	0.489637
1	200	0.453881
1	201	0.383839
1	202	0.303774
1	203	0.270887
1	204	0.267001
1	205	0.278126
1	206	0.312297
1	207	0.331667
1	208	0.366919
1	209	0.397703
1	210	0.397713
1	211	0.363445
1	212	0.262085
1	213	0.202088
1	214	0.164327
1	215	0.141773
1	216	0.117434
1	217	0.080270
1	218	0.067209
1	219	0.048520
1	220	0.036784
1	221	0.058300
1	222	0.090552
1	223	0.143659
1	224	0.192836
1	225	0.236021
1	226	0.279390
1	227	0.297011
1	228	0.307068
1	229	0.322236
1	230	0.319032
1	231	0.337844
1	232	0.327108
1	233	0.303522
1	234	0.305511
1	235	0.302204
1	236	0.258913
1	237	0.194422
1	238	0.138804
1	239	0.069207
1	240	0.035340
1	241	0.042449
1	242	0.078156
1	243	0.106653
1	244	0.127950
1	245	0.143136
1	246	0.158178
1	247	0.194130
1	248	0.193072
1	249	0.213565
1	250	0.238901
1	251	0.282690
1	252	0.301014
1	253	0.337683
1	254	0.360651
1	255	0.383478
1	256	0.392461
1	257	0.393040
