parameter_set,trial,following_count_windowed,engulfing_count_windowed,separating_count_windowed,following_count_full,engulfing_count_full,separating_count_full,total_behaviors_windowed,total_behaviors_full,avg_distance,min_distance,max_distance,std_distance,follow_threshold,engulf_threshold,separation_threshold,analysis_window_sec
ph1_d2.0_a6.0_k1.5,1,0,1,0,1,1,1,1,3,1.3629752981715328,0.08902320520887086,5.290921380828165,1.2180742240220326,2.0,1.0,4.0,150
ph1_d2.0_a6.0_k1.5,2,0,1,0,1,1,1,1,3,0.8659999723220131,0.03599805519226029,4.984462372147529,1.100771491032592,2.0,1.0,4.0,150
ph1_d2.0_a6.0_k1.5,3,0,1,0,1,1,1,1,3,1.05891932414529,0.12044086431741641,5.160608345593246,1.194775876916976,2.0,1.0,4.0,150
