parameter_set,trial,following_count_windowed,engulfing_count_windowed,separating_count_windowed,following_count_full,engulfing_count_full,separating_count_full,total_behaviors_windowed,total_behaviors_full,avg_distance,min_distance,max_distance,std_distance,follow_threshold,engulf_threshold,separation_threshold,analysis_window_sec
ph1_d1.2_a6.0_k1.5,1,0,1,0,1,1,1,1,3,1.0178312898908461,0.04624125357486932,5.166816108433776,1.244011206195895,2.0,1.0,4.0,150
ph1_d1.2_a6.0_k1.5,2,0,1,0,1,1,1,1,3,1.2046413582011757,0.02965240154762716,5.153132683897723,1.294725791166803,2.0,1.0,4.0,150
ph1_d1.2_a6.0_k1.5,3,0,1,0,1,1,1,1,3,0.9378244342544869,0.02449238029589046,5.112670446016798,1.2002336900706194,2.0,1.0,4.0,150
