experiment,d_des,sigma,sensing_range,swarm_size,sensing_ratio,following_mean,following_std,engulfing_mean,engulfing_std,separating_mean,separating_std,avg_distance_mean,avg_distance_std,min_distance_mean,max_distance_mean,std_distance_mean,total_behaviors,interaction_index,pursuit_success,dynamic_range,behavior_consistency,distance_stability,d_des_cat,swarm_size_cat,sensing_type,objective_score
d1.2_sequal_n10_08-11-2025,1.2,0.8485281374238569,2.16,10,1.8000000000000003,0.0,0.0,1.0,0.0,0.0,0.0,0.4767865087445761,0.08569736735128368,0.05429909911155287,2.95415242931796,0.5439701833960716,1.0,1.0,0.9990009990009991,2.899853330206407,1.0,1.5528669273573394,1.2,10,equal,0.6000000000000001
d1.2_sgreater_n10_08-11-2025,1.2,0.8485281374238569,2.592,10,2.16,0.0,0.0,1.0,0.0,0.0,0.0,0.503182424062898,0.11738478852275411,0.04231271191127423,2.931659485064967,0.6281532841600326,1.0,1.0,0.9990009990009991,2.889346773153693,1.0,1.3733372103836057,1.2,10,greater,0.6000000000000001
d0.7_sequal_n20_08-11-2025,0.7,0.4949747468305832,1.26,20,1.8,1.3333333333333333,0.4714045207910317,1.6666666666666667,0.9428090415820634,0.0,0.0,2.2519846439480116,0.25326938598755117,1.5982513301618724,3.261117643420251,0.4253964909930808,3.0,3.0,0.5553704320781963,1.6628663132583785,0.4142135623730951,1.9033244742648452,0.7,20,equal,1.8000000000000003
d2.0_sequal_n20_08-11-2025,2.0,1.414213562373095,3.6,20,1.8,0.0,0.0,1.0,0.0,0.0,0.0,0.6659507751536832,0.13132143034936805,0.12570669549185629,3.4054531107474078,0.924714041750797,1.0,1.0,0.9990009990009991,3.2797464152555516,1.0,0.9758820112305954,2.0,20,equal,0.6000000000000001
d2.0_sgreater_n10_08-11-2025,2.0,1.414213562373095,4.32,10,2.16,0.0,0.0,1.0,0.0,0.0,0.0,0.44541820030682694,0.06310904211352318,0.009512226803405468,2.928288415515785,0.8270480176893961,1.0,1.0,0.9990009990009991,2.9187761887123798,1.0,1.078692776337985,2.0,10,greater,0.6000000000000001
d2.0_sless_n5_08-11-2025,2.0,1.414213562373095,2.8800000000000003,5,1.4400000000000002,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,2.715765824485286,1.3214150841123005,1.8915532330818723,3.641461563631914,0.4497698397812964,1.0,1.0,0.333000333000333,1.7499083305500418,0.5147186257614297,1.8189429969417916,2.0,5,less,0.6000000000000001
d0.7_sless_n5_08-11-2025,0.7,0.4949747468305832,1.008,5,1.4400000000000002,1.0,0.0,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,7.291511088447719,3.625064930388464,1.8534469897920258,11.692086649104157,3.424809818536462,2.0,0.8,0.2498126405196103,9.83863965931213,0.5147186257614297,0.2837032496735414,0.7,5,less,0.36000000000000004
d1.2_sless_n10_08-11-2025,1.2,0.8485281374238569,1.7280000000000002,10,1.4400000000000002,0.6666666666666666,0.4714045207910317,1.3333333333333333,0.4714045207910317,0.0,0.0,1.3797328406008162,0.5190639375736973,0.1898569123198169,3.0891676674631157,0.7045609496094557,2.0,2.0,0.6663334999167083,2.899310755143299,0.5147186257614297,1.2429139153291158,1.2,10,less,1.2000000000000002
d0.7_sgreater_n10_08-11-2025,0.7,0.4949747468305832,1.512,10,2.16,2.3333333333333335,1.247219128924647,1.6666666666666667,1.247219128924647,0.0,0.0,2.8949348194966276,0.7758733721207045,1.8865424085360785,3.7494153313371843,0.5665331485199617,4.0,4.0,0.41656252603515787,1.8628729228011058,0.28616902809880107,1.5003004760085858,0.7,10,greater,2.4000000000000004
d0.7_sless_n10_08-11-2025,0.7,0.4949747468305832,1.008,10,1.4400000000000002,1.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,2.687434832620261,0.46594998539954136,1.9327569779338827,3.1599187511929134,0.24865704491425922,1.3333333333333333,1.3333333333333333,0.2498126405196103,1.2271617732590308,0.6796227589829592,2.868147982628366,0.7,10,less,0.8
d2.0_sless_n20_08-11-2025,2.0,1.414213562373095,2.8800000000000003,20,1.4400000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.6553413981635967,0.041838573354478666,0.05704059396742176,3.278516682451523,0.7637785911194989,1.0,1.0,0.9990009990009991,3.2214760884841014,1.0,1.1577040809774546,2.0,20,less,0.6000000000000001
d1.2_sequal_n20_08-11-2025,1.2,0.8485281374238569,2.16,20,1.8000000000000003,0.0,0.0,1.0,0.0,0.0,0.0,0.3970735728190193,0.005254515657224179,0.0186055575515629,3.281540581829617,0.6379628774333145,1.0,1.0,0.9990009990009991,3.262935024278054,1.0,1.355081712887874,1.2,20,equal,0.6000000000000001
d1.2_sless_n5_08-11-2025,1.2,0.8485281374238569,1.7280000000000002,5,1.4400000000000002,1.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,4.901847139944964,2.1855590789244883,2.04811509505915,6.848828330935041,1.4775915275936604,1.3333333333333333,0.75,0.0,4.800713235875891,0.6796227589829592,0.6338776435528434,1.2,5,less,0.3833333333333334
