trial,frame,time_sec,distance
1,0,0.0,3.2391136460313
1,1,0.03333333333333333,3.2391214162253683
1,2,0.06666666666666667,3.2392245297053814
1,3,0.1,3.2395244366436007
1,4,0.13333333333333333,3.240007710714736
1,5,0.16666666666666666,3.2406502039104024
1,6,0.2,3.2415212667932094
1,7,0.23333333333333334,3.242698121971573
1,8,0.26666666666666666,3.244180837854111
1,9,0.3,3.2459033998461435
1,10,0.3333333333333333,3.2478163968463947
1,11,0.36666666666666664,3.2499318742531274
1,12,0.4,3.2522386000719736
1,13,0.43333333333333335,3.2546014637052756
1,14,0.4666666666666667,3.2568332503093167
1,15,0.5,3.258864634505435
1,16,0.5333333333333333,3.2607127538968994
1,17,0.5666666666666667,3.262342423950218
1,18,0.6,3.2636757335498525
1,19,0.6333333333333333,3.2647295301884
1,20,0.6666666666666666,3.2656508349665088
1,21,0.7,3.2665771116259346
1,22,0.7333333333333333,3.26751064267383
1,23,0.7666666666666667,3.2684059813339332
1,24,0.8,3.2692945841624605
1,25,0.8333333333333334,3.2702190819610792
1,26,0.8666666666666667,3.271142527142841
1,27,0.9,3.2720158970639766
1,28,0.9333333333333333,3.2728601309476146
1,29,0.9666666666666667,3.273715694501282
1,30,1.0,3.2745883616759452
1,31,1.0333333333333334,3.2754530291989292
1,32,1.0666666666666667,3.2763170885339825
1,33,1.1,3.277212986971957
1,34,1.1333333333333333,3.2781142898389106
1,35,1.1666666666666667,3.2789471798432226
1,36,1.2,3.2796808110229687
1,37,1.2333333333333334,3.2803484294153136
1,38,1.2666666666666666,3.2810070011552352
1,39,1.3,3.281678902720652
1,40,1.3333333333333333,3.2823380582668764
1,41,1.3666666666666667,3.2829713672085954
1,42,1.4,3.283634320182198
1,43,1.4333333333333333,3.2844159459257933
1,44,1.4666666666666666,3.2853306685395434
1,45,1.5,3.286306181587412
1,46,1.5333333333333334,3.287302423260299
1,47,1.5666666666666667,3.288346164079421
1,48,1.6,3.2894012475640397
1,49,1.6333333333333333,3.2903500549231683
1,50,1.6666666666666667,3.291154116080164
1,51,1.7,3.291903927933858
1,52,1.7333333333333334,3.2926285610542427
1,53,1.7666666666666666,3.293250011181527
1,54,1.8,3.293762309411389
1,55,1.8333333333333333,3.294271069450826
1,56,1.8666666666666667,3.2948203188489154
1,57,1.9,3.2953286815042513
1,58,1.9333333333333333,3.2957295928195687
1,59,1.9666666666666666,3.2960757415777158
1,60,2.0,3.296450434244766
1,61,2.033333333333333,3.2968507269369933
1,62,2.066666666666667,3.297232152502715
1,63,2.1,3.297631447457346
1,64,2.1333333333333333,3.298161897593595
1,65,2.1666666666666665,3.2988541594214995
1,66,2.2,3.2996539569221457
1,67,2.2333333333333334,3.300554117209282
1,68,2.2666666666666666,3.301576964997488
1,69,2.3,3.302682339262351
1,70,2.3333333333333335,3.3038678178068306
1,71,2.3666666666666667,3.305249938418569
1,72,2.4,3.306922167971332
1,73,2.433333333333333,3.3088127046222144
1,74,2.466666666666667,3.3107749329922354
1,75,2.5,3.3127546531432275
1,76,2.533333333333333,3.314797622658081
1,77,2.566666666666667,3.316944744210758
1,78,2.6,3.3191892640715746
1,79,2.6333333333333333,3.3214800290021524
1,80,2.6666666666666665,3.323710168801772
1,81,2.7,3.3258066580758565
1,82,2.7333333333333334,3.32781263347222
1,83,2.7666666666666666,3.329817124000592
1,84,2.8,3.331832123007076
1,85,2.8333333333333335,3.3337915310588677
1,86,2.8666666666666667,3.335689427580487
1,87,2.9,3.3376432510871696
1,88,2.933333333333333,3.339719108412169
1,89,2.966666666666667,3.3418264580820334
1,90,3.0,3.3438943864613466
1,91,3.033333333333333,3.3460031142881714
1,92,3.066666666666667,3.3482685288527345
1,93,3.1,3.350693047255716
1,94,3.1333333333333333,3.353204454222383
1,95,3.1666666666666665,3.355791742934854
1,96,3.2,3.358460019152674
1,97,3.2333333333333334,3.361092572956067
1,98,3.2666666666666666,3.363578015876068
1,99,3.3,3.3659709830703353
1,100,3.3333333333333335,3.368362587298626
1,101,3.3666666666666667,3.3707047704363964
1,102,3.4,3.372914453682568
1,103,3.433333333333333,3.3750737685977312
1,104,3.466666666666667,3.377313735319555
1,105,3.5,3.379576250754646
1,106,3.533333333333333,3.3817226587657996
1,107,3.566666666666667,3.3837765429440045
1,108,3.6,3.385860439254191
1,109,3.6333333333333333,3.388000255908708
1,110,3.6666666666666665,3.3900972084734717
1,111,3.7,3.3920860215558566
1,112,3.7333333333333334,3.3940157319906734
1,113,3.7666666666666666,3.3959232069962133
1,114,3.8,3.3977766206325106
1,115,3.8333333333333335,3.3995586158415123
1,116,3.8666666666666667,3.401319263256958
1,117,3.9,3.4031048656442553
1,118,3.933333333333333,3.404899843874154
1,119,3.966666666666667,3.4067105878621273
1,120,4.0,3.4086266769314215
1,121,4.033333333333333,3.4107148913148544
1,122,4.066666666666666,3.4129499314450444
1,123,4.1,3.415275922549524
1,124,4.133333333333334,3.4177005980945148
1,125,4.166666666666667,3.4202594331137885
1,126,4.2,3.422914612639581
1,127,4.233333333333333,3.425604780939167
1,128,4.266666666666667,3.4283298443704426
1,129,4.3,3.4311158571269007
1,130,4.333333333333333,3.43388991977309
1,131,4.366666666666666,3.4365182964557466
1,132,4.4,3.43895528038405
1,133,4.433333333333334,3.441226778345507
1,134,4.466666666666667,3.443347449825205
1,135,4.5,3.4453174545305223
1,136,4.533333333333333,3.447156835447454
1,137,4.566666666666666,3.4489218104607735
1,138,4.6,3.450662055847479
1,139,4.633333333333334,3.45242627899794
1,140,4.666666666666667,3.4542803540555753
