parameter_set,trial,following_count_windowed,engulfing_count_windowed,separating_count_windowed,following_count_full,engulfing_count_full,separating_count_full,total_behaviors_windowed,total_behaviors_full,avg_distance,min_distance,max_distance,std_distance,follow_threshold,engulf_threshold,separation_threshold,analysis_window_sec
ph1_d1.2_a2.0_k0.5,1,0,1,0,1,1,1,1,3,1.0335766136998081,0.02302181346315878,5.091765010732997,1.2571482055678096,2.0,1.0,4.0,150
ph1_d1.2_a2.0_k0.5,2,0,1,0,1,1,1,1,3,0.9721387356712102,0.027531258647320467,5.122311760258629,1.2483692425699493,2.0,1.0,4.0,150
ph1_d1.2_a2.0_k0.5,3,0,1,0,1,1,1,1,3,1.1875956603165037,0.04997936974150441,5.159698198552448,1.2908747055062038,2.0,1.0,4.0,150
